Cadena,Tiempo (s),Memoria (bytes),Resultado
a,0.002304,4337664,ACEPTADA
ab,0.000124,4337664,ACEPTADA
abb,0.000109,4337664,ACEPTADA
abab,0.000111,4337664,ACEPTADA
ababa,0.000109,4337664,ACEPTADA
ababab,0.000122,4337664,ACEPTADA
abababa,0.000131,4337664,ACEPTADA
abababab,0.000146,4337664,ACEPTADA
ababababa,0.000115,4337664,ACEPTADA
ababababab,0.000117,4337664,ACEPTADA
abababababa,0.000120,4337664,ACEPTADA
abababababab,0.000123,4337664,ACEPTADA
ababababababa,0.000127,4337664,ACEPTADA
ababababababab,0.000146,4337664,ACEPTADA
abababababababa,0.000134,4337664,ACEPTADA
abababababababab,0.000140,4337664,ACEPTADA
ababababababababa,0.000145,4337664,ACEPTADA
ababababababababab,0.000152,4337664,ACEPTADA
abababababababababa,0.000160,4337664,ACEPTADA
abababababababababab,0.000199,4337664,ACEPTADA
ababababababababababa,0.000179,4337664,ACEPTADA
ababababababababababab,0.000189,4337664,ACEPTADA
abababababababababababa,0.000201,4337664,ACEPTADA
abababababababababababab,0.000213,4337664,ACEPTADA
ababababababababababababa,0.000239,4337664,ACEPTADA
ababababababababababababab,0.000243,4337664,ACEPTADA
abababababababababababababa,0.000258,4337664,ACEPTADA
abababababababababababababab,0.000276,4337664,ACEPTADA
ababababababababababababababa,0.000308,4337664,ACEPTADA
ababababababababababababababab,0.000316,4337664,ACEPTADA
abababababababababababababababa,0.000539,4337664,ACEPTADA
abababababababababababababababab,0.000401,4337664,ACEPTADA
ababababababababababababababababa,0.000387,4337664,ACEPTADA
ababababababababababababababababab,0.000428,4337664,ACEPTADA
abababababababababababababababababa,0.000442,4337664,ACEPTADA
abababababababababababababababababab,0.000479,4337664,ACEPTADA
ababababababababababababababababababa,0.000499,4337664,ACEPTADA
ababababababababababababababababababab,0.000545,4337664,ACEPTADA
abababababababababababababababababababa,0.000592,4337664,ACEPTADA
abababababababababababababababababababab,0.000602,4337664,ACEPTADA
ababababababababababababababababababababa,0.000675,4337664,ACEPTADA
ababababababababababababababababababababab,0.000703,4337664,ACEPTADA
abababababababababababababababababababababa,0.000714,4337664,ACEPTADA
abababababababababababababababababababababab,0.000769,4337664,ACEPTADA
ababababababababababababababababababababababa,0.000815,4337664,ACEPTADA
ababababababababababababababababababababababab,0.000863,4337664,ACEPTADA
abababababababababababababababababababababababa,0.000912,4337664,ACEPTADA
abababababababababababababababababababababababab,0.000963,4337664,ACEPTADA
ababababababababababababababababababababababababa,0.001026,4337664,ACEPTADA
ababababababababababababababababababababababababab,0.001071,4337664,ACEPTADA
abababababababababababababababababababababababababa,0.001132,4337664,ACEPTADA
abababababababababababababababababababababababababab,0.001192,4337664,ACEPTADA
ababababababababababababababababababababababababababa,0.001254,4337664,ACEPTADA
ababababababababababababababababababababababababababab,0.001179,4337664,ACEPTADA
abababababababababababababababababababababababababababa,0.000959,4337664,ACEPTADA
abababababababababababababababababababababababababababab,0.001014,4337664,ACEPTADA
